id,aborted,batches_completed,creature_key,engram_count,mean_eligibility,onset_cycle,std_eligibility
305309,f,8,181,128,0.23814032007847044,764,0.26891293956030754
213752,f,8,181,128,0.23814032007847044,552,0.26891293956030754
215839,f,8,180,128,0.23814032007847044,494,0.26891293956030754
256252,f,8,181,128,0.23814032007847044,660,0.26891293956030754
265387,f,8,180,128,0.23814032007847044,604,0.26891293956030754
282839,f,8,182,128,0.23814032007847044,766,0.26891293956030754
289723,f,8,180,128,0.23814032007847044,676,0.26891293956030754
299748,f,8,180,128,0.23814032007847044,702,0.26891293956030754
317060,f,8,181,128,0.23814032007847044,788,0.26891293956030754
225209,f,8,182,128,0.23054035683708765,575,0.2609011440743639
230515,f,8,180,128,0.23814032007847044,524,0.26891293956030754
231329,f,8,182,128,0.23054035683708765,600,0.2609011440743639
271151,f,8,180,128,0.23814032007847044,618,0.26891293956030754
298044,f,8,181,128,0.23814032007847044,749,0.26891293956030754
232552,f,8,181,128,0.23814032007847044,591,0.26891293956030754
253277,f,8,181,128,0.23814032007847044,648,0.26891293956030754
296318,f,8,182,128,0.23814032007847044,801,0.26891293956030754
236490,f,8,180,128,0.23814032007847044,537,0.26891293956030754
238251,f,8,182,128,0.23054035683708765,628,0.2609011440743639
274748,f,8,182,128,0.23814032007847044,742,0.26891293956030754
287608,f,8,182,128,0.23814032007847044,780,0.26891293956030754
241534,f,8,182,128,0.23054035683708765,640,0.2609011440743639
245975,f,8,180,128,0.23814032007847044,566,0.26891293956030754
249785,f,8,182,128,0.23054035683708765,672,0.2609011440743639
278904,f,8,182,128,0.23814032007847044,754,0.26891293956030754
312948,f,8,180,128,0.23814032007847044,747,0.26891293956030754
318873,f,8,180,128,0.23814032007847044,759,0.26891293956030754
320502,f,8,182,128,0.23814032007847044,853,0.26891293956030754
322070,f,8,181,128,0.23814032007847044,801,0.26891293956030754
324102,f,8,182,128,0.23814032007847044,865,0.26891293956030754
326502,f,8,180,128,0.23814032007847044,773,0.26891293956030754
328201,f,8,181,128,0.23814032007847044,813,0.26891293956030754
329970,f,8,182,128,0.23814032007847044,877,0.26891293956030754
331487,f,8,181,128,0.23814032007847044,826,0.26891293956030754
333238,f,8,180,128,0.23814032007847044,785,0.26891293956030754
334514,f,8,181,128,0.23814032007847044,838,0.26891293956030754
336552,f,8,180,128,0.23814032007847044,799,0.26891293956030754
337902,f,8,182,128,0.23814032007847044,895,0.26891293956030754
339752,f,8,180,128,0.23814032007847044,811,0.26891293956030754
341165,f,8,182,128,0.23814032007847044,907,0.26891293956030754
342702,f,8,181,128,0.23814032007847044,852,0.26891293956030754
344052,f,8,180,128,0.23814032007847044,824,0.26891293956030754
345960,f,8,182,128,0.23814032007847044,923,0.26891293956030754
347702,f,8,181,128,0.23814032007847044,868,0.26891293956030754
349181,f,8,182,128,0.23814032007847044,935,0.26891293956030754
350630,f,8,180,128,0.23814032007847044,836,0.26891293956030754
352401,f,8,181,128,0.23814032007847044,881,0.26891293956030754
353952,f,8,182,128,0.23814032007847044,950,0.26891293956030754
355806,f,8,180,128,0.23814032007847044,851,0.26891293956030754
357779,f,8,181,128,0.23814032007847044,896,0.26891293956030754
359452,f,8,180,128,0.23814032007847044,863,0.26891293956030754
361068,f,8,182,128,0.23814032007847044,962,0.26891293956030754
363652,f,8,180,128,0.23814032007847044,877,0.26891293956030754
365789,f,8,182,128,0.23814032007847044,975,0.26891293956030754
367352,f,8,181,128,0.23814032007847044,910,0.26891293956030754
369252,f,8,182,128,0.23814032007847044,993,0.26891293956030754
371247,f,8,180,128,0.23814032007847044,896,0.26891293956030754
373176,f,8,181,128,0.23814032007847044,922,0.26891293956030754
375114,f,8,182,128,0.23814032007847044,1005,0.26891293956030754
376402,f,8,181,128,0.23814032007847044,935,0.26891293956030754
377998,f,8,180,128,0.23814032007847044,913,0.26891293956030754
379669,f,8,182,128,0.23814032007847044,1021,0.26891293956030754
381288,f,8,180,128,0.23814032007847044,931,0.26891293956030754
382808,f,8,181,128,0.23814032007847044,951,0.26891293956030754
384694,f,8,182,128,0.23814032007847044,1033,0.26891293956030754
387052,f,8,180,128,0.23814032007847044,944,0.26891293956030754
388866,f,8,181,128,0.23814032007847044,965,0.26891293956030754
390325,f,8,182,128,0.23814032007847044,1046,0.26891293956030754
391352,f,8,180,128,0.23814032007847044,958,0.26891293956030754
393194,f,8,180,128,0.23814032007847044,970,0.26891293956030754
395244,f,8,181,128,0.23814032007847044,980,0.26891293956030754
396952,f,8,180,128,0.23814032007847044,983,0.26891293956030754
399549,f,8,181,128,0.23814032007847044,993,0.26891293956030754
400901,f,8,182,128,0.23814032007847044,1060,0.26891293956030754
403037,f,8,182,128,0.23814032007847044,1072,0.26891293956030754
404502,f,8,180,128,0.23814032007847044,999,0.26891293956030754
406702,f,8,181,128,0.23814032007847044,1010,0.26891293956030754
408916,f,8,182,128,0.23814032007847044,1084,0.26891293956030754
409859,f,8,180,128,0.23814032007847044,1011,0.26891293956030754
411380,f,8,180,128,0.23814032007847044,1025,0.26891293956030754
412652,f,8,181,128,0.23054035683708765,1031,0.2609011440743639
415502,f,8,182,128,0.23814032007847044,1096,0.26891293956030754
417920,f,8,182,128,0.23814032007847044,1108,0.26891293956030754
419402,f,8,181,128,0.23054035683708765,1043,0.2609011440743639
421520,f,8,180,128,0.23814032007847044,1038,0.26891293956030754
423102,f,8,180,128,0.23814032007847044,1052,0.26891293956030754
424710,f,8,181,128,0.23054035683708765,1055,0.2609011440743639
426364,f,8,182,128,0.23814032007847044,1127,0.26891293956030754
427960,f,8,180,128,0.23814032007847044,1067,0.26891293956030754
429402,f,8,181,128,0.23054035683708765,1068,0.2609011440743639
